Date,Total_Deaths
1/4/2021,2092
1/5/2021,3714
1/6/2021,3926
1/7/2021,3985
1/8/2021,4107
1/9/2021,3321
1/10/2021,1999
1/11/2021,2103
1/12/2021,4474
1/13/2021,4028
1/14/2021,3986
1/15/2021,3892
1/16/2021,3404
1/17/2021,1897
1/18/2021,1535
1/19/2021,2732
1/20/2021,4408
1/21/2021,4204
1/22/2021,3845
1/23/2021,3345
1/24/2021,1899
1/25/2021,1973
1/26/2021,4007
1/27/2021,3960
1/28/2021,4037
1/29/2021,3634
1/30/2021,2786
1/31/2021,1851
2/1/2021,2067
2/2/2021,3429
2/3/2021,3906
2/4/2021,3736
2/5/2021,3688
2/6/2021,2641
2/7/2021,1436
2/8/2021,1617
2/9/2021,3074
2/10/2021,3310
2/11/2021,3207
2/12/2021,2929
2/13/2021,2198
2/14/2021,1161
2/15/2021,958
2/16/2021,1748
2/17/2021,2405
2/18/2021,2519
2/19/2021,2631
2/20/2021,1818
2/21/2021,1247
2/22/2021,1323
2/23/2021,2274
2/24/2021,3178
2/25/2021,2446
2/26/2021,2068
,
