,Date,DOW_Close,SP500_Close,NASDAQ_Close,Total_Deaths
0,2/3/2020,28399.81,3248.92,9273.400391,0.0
1,2/4/2020,28807.63,3297.59,9467.969727,0.0
2,2/5/2020,29290.85,3334.69,9508.679688,0.0
3,2/6/2020,29379.77,3345.78,9572.150391,0.0
4,2/7/2020,29102.51,3327.71,9520.509766,0.0
5,2/10/2020,29276.82,3352.09,9628.389648,0.0
6,2/11/2020,29276.34,3357.75,9638.94043,0.0
7,2/12/2020,29551.42,3379.45,9725.959961,0.0
8,2/13/2020,29423.31,3373.94,9711.969727,0.0
9,2/14/2020,29398.08,3380.16,9731.179688,0.0
10,2/18/2020,29232.19,3370.29,9732.740234,0.0
11,2/19/2020,29348.03,3386.15,9817.179688,0.0
12,2/20/2020,29219.98,3373.23,9750.969727,0.0
13,2/21/2020,28992.41,3337.75,9576.589844,0.0
14,2/24/2020,27960.8,3225.89,9221.280273,0.0
15,2/25/2020,27081.36,3128.21,8965.610352,0.0
16,2/26/2020,26957.59,3116.39,8980.780273,0.0
17,2/27/2020,25766.64,2978.76,8566.480469,0.0
18,2/28/2020,25409.36,2954.22,8567.370117,0.0
19,3/2/2020,26703.32,3090.23,8952.169922,5.0
20,3/3/2020,25917.41,3003.37,8684.089844,1.0
21,3/4/2020,27090.86,3130.12,9018.089844,4.0
22,3/5/2020,26121.28,3023.94,8738.589844,1.0
23,3/6/2020,25864.78,2972.37,8575.620117,2.0
24,3/9/2020,23851.02,2746.56,7950.680176000001,1.0
25,3/10/2020,25018.16,2882.23,8344.25,6.0
26,3/11/2020,23553.22,2741.38,7952.049805,5.0
27,3/12/2020,21200.62,2480.64,7201.799805,10.0
28,3/13/2020,23185.62,2711.02,7874.879883,8.0
29,3/16/2020,20188.52,2386.13,6904.589844,27.0
30,3/17/2020,21237.38,2529.19,7334.779785,38.0
31,3/18/2020,19898.92,2398.1,6989.839844,61.0
32,3/19/2020,20087.19,2409.39,7150.580078,73.0
33,3/20/2020,19173.98,2304.92,6879.52002,108.0
34,3/23/2020,18591.93,2237.4,6860.669922,192.0
35,3/24/2020,20704.91,2447.33,7417.859863,243.0
36,3/25/2020,21200.55,2475.56,7384.299805,333.0
37,3/26/2020,22552.17,2630.07,7797.540039,419.0
38,3/27/2020,21636.78,2541.47,7502.379883,522.0
39,3/30/2020,22327.48,2626.65,7774.149901999999,713.0
40,3/31/2020,21917.16,2584.59,7700.100098000001,1085.0
41,4/1/2020,20943.51,2470.5,7360.580078,1283.0
42,4/2/2020,21413.44,2526.9,7487.310059,1512.0
43,4/3/2020,21052.53,2488.65,7373.080078,1431.0
44,4/6/2020,22679.99,2663.68,7913.240234000001,1771.0
45,4/7/2020,22653.86,2659.41,7887.259765999999,2575.0
46,4/8/2020,23433.57,2749.98,8090.899901999999,2160.0
47,4/9/2020,23719.37,2789.82,8153.580078,2203.0
48,4/13/2020,23390.77,2761.63,8192.419922,2009.0
49,4/14/2020,23949.76,2846.06,8515.740234,2434.0
50,4/15/2020,23504.35,2783.36,8393.179688,2612.0
51,4/16/2020,23537.68,2799.55,8532.360352,2143.0
52,4/17/2020,24242.49,2874.56,8650.139648,2110.0
53,4/20/2020,23650.44,2823.16,8560.730469,2229.0
54,4/21/2020,23018.88,2736.56,8263.230469,2514.0
