Date,Open,High,Low,Close,Adj Close,Volume,Change
2/3/2020,9190.719727,9299.849609,9188.549805,9273.400391,9273.400391,2420510000,-82.680664
2/4/2020,9398.389648,9485.379883,9374.049805,9467.969727,9467.969727,2445420000,-69.580079
2/5/2020,9574.099609,9574.94043,9454.929688,9508.679688,9508.679688,2462470000,65.419921
2/6/2020,9540.980469,9575.660156,9505.679688,9572.150391,9572.150391,2267300000,-31.169922
2/7/2020,9526.639648,9570.089844,9496.530273,9520.509766,9520.509766,2238670000,6.129882
2/10/2020,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2179310000,-134.759765
2/11/2020,9680.889648,9714.740234,9617.209961,9638.94043,9638.94043,2423670000,41.949218
2/12/2020,9688.599609,9728.769531,9666.69043,9725.959961,9725.959961,2355000000,-37.360352
2/13/2020,9657.040039,9748.320313,9650.019531,9711.969727,9711.969727,2239270000,-54.929688
2/14/2020,9728.900391,9746.360352,9693.049805,9731.179688,9731.179688,2222240000,-2.279297
2/18/2020,9679.040039,9747.679688,9675.799805,9732.740234,9732.740234,2273460000,-53.700195
2/19/2020,9782.80957,9838.370117,9777.099609,9817.179688,9817.179688,2462530000,-34.370118
2/20/2020,9799.200195,9820.860352,9636.94043,9750.969727,9750.969727,2735610000,48.230468
2/21/2020,9708.009766,9715.950195,9542.330078,9576.589844,9576.589844,2743010000,131.419922
2/24/2020,9188.44043,9322.879883,9166.009766,9221.280273,9221.280273,3177000000,-32.839843
2/25/2020,9301.200195,9315.259766,8940.490234,8965.610352,8965.610352,3583400000,335.589843
2/26/2020,9011.549805,9148.320313,8927.799805,8980.780273,8980.780273,3567830000,30.769532
2/27/2020,8744.030273,8904.110352,8562.049805,8566.480469,8566.480469,4536080000,177.549804
2/28/2020,8269.740234,8591.820313,8264.160156,8567.370117,8567.370117,5301170000,-297.629883
3/2/2020,8667.139648,8952.80957,8543.349609,8952.169922,8952.169922,4232760000,-285.030274
3/3/2020,8965.099609,9070.320313,8602.889648,8684.089844,8684.089844,4336700000,281.009765
3/4/2020,8834.099609,9019.959961,8757.660156,9018.089844,9018.089844,3602870000,-183.990235
3/5/2020,8790.089844,8921.080078,8677.389648,8738.589844,8738.589844,3748090000,51.5
3/6/2020,8469.019531,8612.360352,8375.129883,8575.620117,8575.620117,4279850000,-106.600586
3/9/2020,7957.930176,8243.30957,7943.160156,7950.680176,7950.680176,4530350000,7.25
3/10/2020,8219.759766,8347.400391,7930.430176,8344.25,8344.25,4431930000,-124.490234
3/11/2020,8136.25,8181.359863,7850.950195,7952.049805,7952.049805,4273890000,184.200195
3/12/2020,7398.580078,7712.330078,7194.669922,7201.799805,7201.799805,5066530000,196.780273
3/13/2020,7610.390137,7875.930176,7219.089844,7874.879883,7874.879883,4685890000,-264.489746
3/16/2020,7392.72998,7422.200195,6882.859863,6904.589844,6904.589844,4594360000,488.140136
3/17/2020,7072,7406.22998,6828.910156,7334.779785,7334.779785,4900000000,-262.779785
3/18/2020,6902.319824,7182.830078,6686.359863,6989.839844,6989.839844,4890820000,-87.52002
3/19/2020,6996.450195,7341.379883,6858.379883,7150.580078,7150.580078,4762170000,-154.129883
3/20/2020,7248.069824,7354.439941,6854.669922,6879.52002,6879.52002,5239940000,368.549804
3/23/2020,6847.279785,6984.939941,6631.419922,6860.669922,6860.669922,4330610000,-13.390137
3/24/2020,7196.149902,7418.370117,7169.859863,7417.859863,7417.859863,4417380000,-221.709961
3/25/2020,7421.359863,7671.209961,7276.399902,7384.299805,7384.299805,4666440000,37.060058
3/26/2020,7462.209961,7809.830078,7462.209961,7797.540039,7797.540039,3999850000,-335.330078
3/27/2020,7554.25,7716.240234,7491.140137,7502.379883,7502.379883,3977010000,51.870117
3/30/2020,7583.459961,7784.350098,7539.970215,7774.149902,7774.149902,3846900000,-190.689941
3/31/2020,7740.060059,7880.310059,7642.859863,7700.100098,7700.100098,4059700000,39.959961
4/1/2020,7459.5,7566.370117,7301.97998,7360.580078,7360.580078,3685510000,98.919922
4/2/2020,7317.450195,7501.700195,7307.950195,7487.310059,7487.310059,3608190000,-169.859864
4/3/2020,7477.27002,7518.720215,7288.109863,7373.080078,7373.080078,3279100000,104.189942
4/6/2020,7660.169922,7938.330078,7617.790039,7913.240234,7913.240234,3849100000,-253.070312
4/7/2020,8129.990234,8146.430176,7881.220215,7887.259766,7887.259766,4069410000,242.730468
4/8/2020,7975.720215,8114.430176,7901.939941,8090.899902,8090.899902,3470730000,-115.179687
4/9/2020,8169.009766,8227.910156,8072.319824,8153.580078,8153.580078,4123670000,15.429688
4/13/2020,8127.689941,8200.44043,8035.950195,8192.419922,8192.419922,3146860000,-64.729981
4/14/2020,8353.209961,8531.110352,8338.080078,8515.740234,8515.740234,3732820000,-162.530273
4/15/2020,8355.959961,8464.660156,8308.790039,8393.179688,8393.179688,3333750000,-37.219727
4/16/2020,8479.110352,8560.160156,8393.269531,8532.360352,8532.360352,3995870000,-53.25
4/17/2020,8667.480469,8670.299805,8531.69043,8650.139648,8650.139648,4335020000,17.340821
4/20/2020,8553.379883,8684.910156,8553.379883,8560.730469,8560.730469,3796950000,-7.350586
4/21/2020,8460.69043,8480.290039,8215.69043,8263.230469,8263.230469,3756290000,197.459961
