Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,28319.65,28630.39,28319.65,28399.81,28399.81,307910000
2/4/2020,28696.74,28904.88,28696.74,28807.63,28807.63,332750000
2/5/2020,29048.73,29308.89,29000.85,29290.85,29290.85,357540000
2/6/2020,29388.58,29408.05,29246.93,29379.77,29379.77,263700000
2/7/2020,29286.92,29286.92,29056.98,29102.51,29102.51,252860000
2/10/2020,28995.66,29278.07,28995.66,29276.82,29276.82,250510000
2/11/2020,29390.71,29415.39,29210.47,29276.34,29276.34,279540000
2/12/2020,29406.75,29568.57,29406.75,29551.42,29551.42,309530000
2/13/2020,29436.03,29535.4,29345.93,29423.31,29423.31,291150000
2/14/2020,29440.47,29463.04,29283.18,29398.08,29398.08,231000000
2/18/2020,29282.78,29330.16,29116.81,29232.19,29232.19,256600000
2/19/2020,29312.7,29409.09,29274.38,29348.03,29348.03,240640000
2/20/2020,29296.25,29368.45,28959.65,29219.98,29219.98,287780000
2/21/2020,29146.53,29146.53,28892.7,28992.41,28992.41,311210000
2/24/2020,28402.93,28402.93,27912.44,27960.8,27960.8,452580000
2/25/2020,28037.65,28149.2,26997.62,27081.36,27081.36,513270000
2/26/2020,27159.46,27542.78,26890.97,26957.59,26957.59,472450000
2/27/2020,26526,26775.31,25752.82,25766.64,25766.64,664980000
2/28/2020,25270.83,25494.24,24681.01,25409.36,25409.36,915990000
3/2/2020,25590.51,26706.17,25391.96,26703.32,26703.32,637200000
3/3/2020,26762.47,27084.59,25706.28,25917.41,25917.41,647080000
3/4/2020,26383.68,27102.34,26286.31,27090.86,27090.86,457590000
3/5/2020,26671.92,26671.92,25943.33,26121.28,26121.28,477370000
3/6/2020,25457.21,25994.38,25226.62,25864.78,25864.78,599780000
3/9/2020,24992.36,24992.36,23706.07,23851.02,23851.02,750430000
3/10/2020,24453,25020.99,23690.34,25018.16,25018.16,654860000
3/11/2020,24604.63,24604.63,23328.32,23553.22,23553.22,663960000
3/12/2020,22184.71,22837.95,21154.46,21200.62,21200.62,908260000
3/13/2020,21973.82,23189.76,21285.37,23185.62,23185.62,843080000
3/16/2020,20917.53,21768.28,20116.46,20188.52,20188.52,770130000
3/17/2020,20487.05,21379.35,19882.26,21237.38,21237.38,793060000
3/18/2020,20188.69,20489.33,18917.46,19898.92,19898.92,871360000
3/19/2020,19830.01,20442.63,19177.13,20087.19,20087.19,780300000
3/20/2020,20253.15,20531.26,19094.27,19173.98,19173.98,872290000
3/23/2020,19028.36,19121.01,18213.65,18591.93,18591.93,787970000
3/24/2020,19722.19,20737.7,19649.25,20704.91,20704.91,799340000
3/25/2020,21050.34,22019.93,20538.34,21200.55,21200.55,796320000
3/26/2020,21468.38,22595.06,21427.1,22552.17,22552.17,705180000
3/27/2020,21898.47,22327.57,21469.27,21636.78,21636.78,588830000
3/30/2020,21678.22,22378.09,21522.08,22327.48,22327.48,545540000
3/31/2020,22208.42,22480.37,21852.08,21917.16,21917.16,571210000
4/1/2020,21227.38,21487.24,20784.43,20943.51,20943.51,506680000
4/2/2020,20819.46,21477.77,20735.02,21413.44,21413.44,529540000
4/3/2020,21285.93,21447.81,20863.09,21052.53,21052.53,450010000
4/6/2020,21693.63,22783.45,21693.63,22679.99,22679.99,610760000
4/7/2020,23537.44,23617.24,22634.45,22653.86,22653.86,594660000
4/8/2020,22893.47,23513.4,22682.99,23433.57,23433.57,472740000
4/9/2020,23690.66,24008.99,23504.09,23719.37,23719.37,566400000
4/13/2020,23698.93,23698.93,23095.35,23390.77,23390.77,394320000
4/14/2020,23690.57,24040.58,23683.44,23949.76,23949.76,485910000
4/15/2020,23600.72,23649.72,23233.32,23504.35,23504.35,437630000
4/16/2020,23543.66,23598.08,23211.38,23537.68,23537.68,471050000
4/17/2020,23817.15,24264.21,23817.15,24242.49,24242.49,525950000
4/20/2020,24095.1,24108.69,23627.19,23650.44,23650.44,423410000
4/21/2020,23365.25,23365.25,22941.88,23018.88,23018.88,485140000
4/22/2020,23437.34,23613.1,23339.6,23475.82,23475.82,352880000
4/23/2020,23543.09,23885.36,23483.35,23515.26,23515.26,389290000
4/24/2020,23628.24,23826,23417.68,23775.27,23775.27,376020000
4/27/2020,23866.15,24207.65,23840.61,24133.78,24133.78,389390000
4/28/2020,24357.17,24512.24,24031.2,24101.55,24101.55,400250000
4/29/2020,24490.37,24764.77,24453.99,24633.86,24633.86,455290000
4/30/2020,24585.57,24585.57,24186.9,24345.72,24345.72,487840000
5/1/2020,24120.78,24120.78,23645.3,23723.69,23723.69,418160000
5/4/2020,23581.55,23769.56,23361.16,23749.76,23749.76,355360000
5/5/2020,23958.88,24169.72,23868.91,23883.09,23883.09,369710000
5/6/2020,23978.88,24054.59,23661.14,23664.64,23664.64,377450000
5/7/2020,23837.21,24094.62,23834.39,23875.89,23875.89,369890000
5/8/2020,24107.82,24349.9,24107.05,24331.32,24331.32,335760000
5/11/2020,24256.45,24366.21,24070.22,24221.99,24221.99,352400000
5/12/2020,24292.84,24382.09,23761.58,23764.78,23764.78,359480000
5/13/2020,23702.16,23708.9,23067.64,23247.97,23247.97,469950000
5/14/2020,23049.06,23630.86,22789.62,23625.34,23625.34,472700000
5/15/2020,23454.83,23730.08,23354.15,23685.42,23685.42,491510000
5/18/2020,24059.98,24708.54,24059.98,24597.37,24597.37,484190000
5/19/2020,24577.48,24599.5,24202.96,24206.86,24206.86,374100000
5/20/2020,24455.94,24649.48,24455.94,24575.9,24575.9,366510000
5/21/2020,24564.27,24718.46,24370.88,24474.12,24474.12,346770000
5/22/2020,24461.98,24481.64,24294.07,24465.16,24465.16,255660000
5/26/2020,24781.84,25176.42,24781.84,24995.11,24995.11,424380000
5/27/2020,25298.63,25551.56,25009.87,25548.27,25548.27,411230000
5/28/2020,25697.36,25758.79,25358.73,25400.64,25400.64,377800000
5/29/2020,25324.15,25482.8,25031.67,25383.11,25383.11,527620000
6/1/2020,25342.99,25508.83,25220.66,25475.02,25475.02,338310000
6/2/2020,25582.52,25743.13,25523.74,25742.65,25742.65,352610000
6/3/2020,25906.88,26337.75,25906.88,26269.89,26269.89,398790000
6/4/2020,26226.49,26384.1,26082.31,26281.82,26281.82,372190000
6/5/2020,26836.8,27338.3,26836.8,27110.98,27110.98,542310000
6/8/2020,27232.93,27580.21,27232.48,27572.44,27572.44,430200000
6/9/2020,27447.37,27447.37,27151.06,27272.3,27272.3,381430000
6/10/2020,27251.89,27355.22,26938.05,26989.99,26989.99,448930000
6/11/2020,26282.51,26294.08,25082.72,25128.17,25128.17,647780000
6/12/2020,25659.42,25965.55,25078.41,25605.54,25605.54,514440000
6/15/2020,25270.39,25891.58,24843.18,25763.16,25763.16,461230000
6/16/2020,26326.68,26611.03,25811.7,26289.98,26289.98,489500000
6/17/2020,26330.52,26400.07,26068.41,26119.61,26119.61,328830000
6/18/2020,26016.45,26154.2,25848.53,26080.1,26080.1,328390000
6/19/2020,26213.1,26451.44,25759.66,25871.46,25871.46,669390000
6/22/2020,25865.08,26059.81,25667.68,26024.96,26024.96,351780000
6/23/2020,26159.39,26314.97,26105.97,26156.1,26156.1,389980000
6/24/2020,25992.96,25992.96,25296.73,25445.94,25445.94,450120000
6/25/2020,25365.22,25769.61,25209.79,25745.6,25745.6,384560000
6/26/2020,25641.69,25641.69,24971.03,25015.55,25015.55,640860000
6/29/2020,25152.45,25601.15,25096.16,25595.8,25595.8,378070000
6/30/2020,25512.43,25905.38,25475.14,25812.88,25812.88,410780000
7/1/2020,25879.38,26019.31,25713.61,25734.97,25734.97,373180000
7/2/2020,25936.45,26204.41,25778.12,25827.36,25827.36,349130000
7/6/2020,25996.08,26297.53,25996.08,26287.03,26287.03,340690000
7/7/2020,26172.01,26174.93,25866.58,25890.18,25890.18,346820000
7/8/2020,25950.06,26109.49,25816.25,26067.28,26067.28,337300000
7/9/2020,26094.92,26103.28,25523.51,25706.09,25706.09,387610000
7/10/2020,25690.35,26101.32,25637.5,26075.3,26075.3,338170000
7/13/2020,26225.07,26639.09,26044.23,26085.8,26085.8,425320000
7/14/2020,26044.17,26690.52,25994.98,26642.59,26642.59,401640000
7/15/2020,27009.81,27071.33,26692.48,26870.1,26870.1,384900000
7/16/2020,26746.57,26879.16,26590.01,26734.71,26734.71,287330000
7/17/2020,26774.62,26808.43,26619.88,26671.95,26671.95,296460000
7/20/2020,26660.29,26765.02,26504.2,26680.87,26680.87,309390000
7/21/2020,26833.14,27025.38,26766.22,26840.4,26840.4,364930000
7/22/2020,26824.56,27035.24,26794.19,27005.84,27005.84,404340000
7/23/2020,26955.97,26973.85,26560.04,26652.33,26652.33,419800000
7/24/2020,26533.41,26625.7,26402.86,26469.89,26469.89,494170000
7/27/2020,26447.67,26625.46,26426.92,26584.77,26584.77,400930000
7/28/2020,26529.45,26556.84,26361.71,26379.28,26379.28,361090000
7/29/2020,26388.44,26602.45,26375.39,26539.57,26539.57,347580000
7/30/2020,26367.42,26374.93,25992.28,26313.65,26313.65,351540000
7/31/2020,26409.33,26440.02,26013.59,26428.32,26428.32,488050000
8/3/2020,26542.32,26707.26,26534.38,26664.4,26664.4,439380000
8/4/2020,26664.61,26832.72,26597.82,26828.47,26828.47,346350000
8/5/2020,26924.78,27221.67,26924.78,27201.52,27201.52,366000000
8/6/2020,27170.82,27394.1,27145.25,27386.98,27386.98,322460000
8/7/2020,27321.68,27456.24,27223.55,27433.48,27433.48,321170000
8/10/2020,27488.21,27803.86,27488.21,27791.44,27791.44,360340000
8/11/2020,27961.64,28154.88,27624.51,27686.91,27686.91,428220000
8/12/2020,27860.24,28043.89,27843.32,27976.84,27976.84,340210000
