Date,Total_Deaths
12/22/2020,14313
12/23/2020,13806
12/24/2020,11629
12/25/2020,8599
12/26/2020,7398
12/27/2020,7399
12/28/2020,9755
12/29/2020,15164
12/30/2020,15260
12/31/2020,13169
1/1/2021,9662
1/2/2021,8432
1/3/2021,7341
1/4/2021,10147
1/5/2021,15334
1/6/2021,15052
1/7/2021,14937
1/8/2021,15165
1/9/2021,12784
1/10/2021,8347
1/11/2021,10323
1/12/2021,17103
1/13/2021,16704
1/14/2021,15369
1/15/2021,15110
1/16/2021,13248
1/17/2021,8662
1/18/2021,9426
1/19/2021,16582
1/20/2021,17906
1/21/2021,16788
1/22/2021,16019
1/23/2021,13294
1/24/2021,8968
1/25/2021,10764
1/26/2021,17307
1/27/2021,16679
1/28/2021,17049
1/29/2021,14946
1/30/2021,13586
1/31/2021,7987
2/1/2021,10218
2/2/2021,14835
2/3/2021,15727
2/4/2021,12533
2/5/2021,16571
2/6/2021,10137
2/7/2021,7985
2/8/2021,8332
2/9/2021,15536
2/10/2021,13403
2/11/2021,13473
2/12/2021,12473
2/13/2021,9805
2/14/2021,6362
2/15/2021,6893
2/16/2021,10916
2/17/2021,11338
2/18/2021,11370
2/19/2021,11048
2/20/2021,8512
2/21/2021,5878
2/22/2021,6949
2/23/2021,11180
2/24/2021,12002
2/25/2021,10165
2/26/2021,10250
2/27/2021,8140
